phrase,count
if_you,13429
would_be,3973
as_well,2997
have_been,2808
looking_for,2534
more_than,2389
has_been,2167
at_least,2083
so_much,2006
should_be,1858
if_you_want,1770
my_favorite,1677
much_better,1569
better_than,1569
would_recommend,1518
do_know,1462
highly_recommend,1423
my_son,1394
too_much,1385
first_time,1196
so_far,1185
even_though,1171
an_excellent,1159
my_daughter,1139
may_be,1112
such_as,1087
based_on,1085
year_old,1059
lots_of,1055
those_who,1040
look_at,1039
people_who,1039
your_money,1005
do_waste,967
less_than,941
along_with,930
very_disappointed,911
other_than,908
after_reading,891
my_husband,857
years_ago,854
long_time,850
anyone_who,840
rather_than,828
much_more,827
interested_in,819
would_have_been,808
be_able,806
in_my_opinion,767
might_be,758
have_seen,743
only_thing,730
made_me,727
no_longer,718
know_what,712
agree_with,707
came_out,704
looks_like,685
at_times,666
from_amazon,665
every_time,661
had_been,660
could_have_been,644
other_books,639
way_too,637
unless_you,627
well_written,625
save_your_money,623
works_great,620
pretty_good,615
feel_like,611
pick_up,606
too_many,604
their_own,603
my_own,602
his_own,591
other_reviews,591
sound_quality,590
by_far,578
sounds_like,568
well_worth,568
too_bad,566
written_by,563
ever_read,562
ca_wait,562
my_wife,556
ever_seen,552
someone_who,552
customer_service,546
away_from,544
make_sure,539
no_matter,537
highly_recommended,535
come_out,534
exactly_what,522
story_line,518
each_other,516
as_far,514
happy_with,509
thank_you,509
same_time,506
your_own,503
one_star,502
let_me,496
filled_with,491
really_enjoyed,487
only_reason,485
see_how,483
other_reviewers,476
tell_you,474
many_times,471
pretty_much,465
over_again,462
little_bit,451
main_character,449
check_out,444
told_me,443
was_expecting,442
high_school,432
an_interesting,431
very_happy,428
several_times,426
set_up,424
these_guys,423
an_old,422
must_read,422
should_have_been,418
deal_with,414
end_up,411
ca_believe,408
as_soon,399
years_old,399
an_amazing,398
waiting_for,397
ended_up,397
my_computer,395
go_back,393
know_how,392
picked_up,384
what_happened,382
works_well,381
put_together,375
great_job,375
gave_me,371
buy_another,370
talking_about,366
many_years,359
felt_like,358
found_myself,358
stopped_working,357
special_effects,357
my_hair,356
many_people,356
no_problems,354
at_home,352
no_idea,352
looking_at,344
well_done,340
big_fan,339
turned_out,338
dvd_player,338
impressed_with,337
ever_heard,336
something_else,336
must_say,330
good_job,326
just_plain,324
once_again,324
next_time,323
way_through,320
has_done,318
will_probably,317
very_pleased,317
brand_new,315
every_day,314
never_heard,310
every_song,310
very_disappointing,309
writing_style,309
few_months,306
whole_thing,305
each_time,303
same_thing,300
an_hour,299
few_days,298
few_times,298
too_long,297
great_deal,295
about_minutes,295
poor_quality,295
look_forward,294
she_loves,293
wo_be,293
without_any,292
really_liked,290
anything_else,290
right_now,289
took_me,285
her_own,283
very_helpful,279
ever_made,277
its_own,277
comes_out,277
care_about,276
too_small,275
he_loves,274
last_year,273
at_night,273
can_tell,273
graphics_are,272
stay_away_from,271
pleased_with,269
insight_into,268
few_years,267
about_months,267
sure_if,265
two_stars,264
does_seem,263
please_do,263
someone_else,263
two_weeks,260
high_quality,258
go_through,257
familiar_with,256
character_development,255
these_days,254
poorly_written,253
more_expensive,251
understand_why,251
do_bother,250
star_wars,250
very_difficult,248
so_glad,248
an_awesome,248
left_me,248
have_gotten,247
five_stars,247
always_been,246
definitely_recommend,245
works_fine,245
do_yourself,245
talk_about,245
huge_fan,244
figure_out,244
waste_your_money,243
my_mom,242
looked_like,241
never_been,241
turns_out,240
person_who,238
right_away,238
her_voice,237
my_eyes,236
look_elsewhere,232
man_who,231
your_child,231
been_using,230
as_advertised,229
being_able,229
reminds_me_of,228
my_mother,228
never_seen,227
would_suggest,227
am_sure,226
in_china,226
coming_out,222
tech_support,221
wonder_if,221
gave_up,220
am_glad,220
same_problem,219
looks_great,219
worse_than,218
cd_player,218
trust_me,218
next_day,217
no_doubt,217
sent_me,215
helped_me,215
main_characters,214
so_excited,213
be_careful,213
thinking_about,212
over_years,212
some_reason,211
absolutely_no,210
tons_of,210
most_part,210
anyone_else,210
feels_like,210
put_down,209
other_hand,208
science_fiction,207
every_single,207
good_luck,207
let_down,206
of_my_favorites,206
ca_say,206
looked_at,206
looking_for_something,204
month_old,203
subject_matter,203
bottom_line,202
for_my_husband,202
has_become,201
nothing_more_than,201
my_opinion,201
very_quickly,200
picture_quality,199
looking_forward,199
everyone_else,199
searching_for,197
my_only_complaint,196
worked_fine,196
absolutely_love,195
an_older,194
tell_me,194
real_life,193
been_able,193
wasted_my,192
through_amazon,192
dealing_with,192
ever_since,191
almost_every,191
after_seeing,190
oh_well,189
longer_than,189
few_minutes,188
nothing_else,188
kept_me,187
few_weeks,187
understand_how,187
stars_because,187
focus_on,185
my_sister,185
two_days,185
my_hands,185
before_buying,185
complete_waste,185
too_hard,185
two_years,184
his_voice,184
will_continue,184
anyone_interested,183
definitely_worth,183
or_at_least,182
an_extra,182
hold_up,181
have_owned,181
very_useful,181
for_beginners,180
as_usual,180
do_care,180
total_waste,180
just_finished,180
long_enough,179
everything_else,179
unless_you_are,179
going_through,179
another_reviewer,178
three_times,178
what_happens,177
coffee_maker,177
web_site,177
too_big,176
battery_life,176
an_adult,175
two_months,175
as_described,174
year_ago,173
coming_from,173
be_honest,173
went_through,173
best_part,173
am_very_disappointed,173
much_less,172
my_laptop,172
months_ago,171
did_care,171
